idx	fname	ts	tier	start	end	duration	talk_time	overlap	event	is_aba	aba_key	is_abcd	abcd_key	is_m43	m43_key
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:24:27	2022-11-25 11:25:27	60.0	60.0	0.0	statement	0	12	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:25:27	2022-11-25 11:26:12	45.0	45.0	0.0	statement	0	12	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:26:12	2022-11-25 11:29:22	190.0	151.0	39.0	statement	0	12	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:29:22	2022-11-25 11:30:36	74.0	74.0	0.0	statement	0	12	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:30:36	2022-11-25 11:31:21	45.0	45.0	0.0	statement	0	12	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:31:21	2022-11-25 11:31:28	7.0	7.0	0.0	statement	1	13	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:31:28	2022-11-25 11:31:33	5.0	5.0	0.0	statement	0	14	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:32:06	2022-11-25 11:33:05	59.0	59.0	0.0	statement	1	15	0	0	1	3
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:33:05	2022-11-25 11:33:36	31.0	31.0	0.0	statement	1	15	0	0	0	4
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:33:36	2022-11-25 11:33:59	23.0	23.0	0.0	statement	0	16	0	0	1	5
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:04	2022-11-25 11:34:07	3.0	3.0	0.0	statement	1	17	0	0	1	5
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:07	2022-11-25 11:34:09	2.0	2.0	0.0	statement	1	17	0	0	0	6
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:19	2022-11-25 11:34:21	2.0	2.0	0.0	statement	1	17	0	0	0	6
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:34:21	2022-11-25 11:34:26	5.0	5.0	0.0	statement	0	18	0	0	1	7
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:26	2022-11-25 11:34:29	3.0	3.0	0.0	statement	0	18	0	0	1	7
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:34:29	2022-11-25 11:34:35	6.0	6.0	0.0	statement	1	19	0	0	1	7
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:35	2022-11-25 11:34:36	1.0	1.0	0.0	statement	1	19	0	0	0	8
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:36	2022-11-25 11:34:38	2.0	2.0	0.0	statement	0	20	0	0	1	9
