idx	fname	t	tier1	tier2	tier3	n_speakers
1	25.11.2022_11.11.csv	106	0	0	0	0
1	25.11.2022_11.11.csv	107	0	0	0	0
1	25.11.2022_11.11.csv	108	0	0	0	0
1	25.11.2022_11.11.csv	109	0	0	0	0
1	25.11.2022_11.11.csv	110	0	0	0	0
1	25.11.2022_11.11.csv	111	0	0	0	0
1	25.11.2022_11.11.csv	112	0	0	0	0
1	25.11.2022_11.11.csv	113	0	0	0	0
1	25.11.2022_11.11.csv	114	0	0	0	0
1	25.11.2022_11.11.csv	115	0	0	0	0
1	25.11.2022_11.11.csv	116	0	0	0	0
1	25.11.2022_11.11.csv	117	0	0	0	0
1	25.11.2022_11.11.csv	118	0	0	0	0
1	25.11.2022_11.11.csv	119	0	0	0	0
1	25.11.2022_11.11.csv	120	0	0	0	0
1	25.11.2022_11.11.csv	121	0	0	0	0
1	25.11.2022_11.11.csv	122	0	0	0	0
1	25.11.2022_11.11.csv	123	0	0	0	0
1	25.11.2022_11.11.csv	124	0	0	0	0
1	25.11.2022_11.11.csv	125	0	0	0	0
1	25.11.2022_11.11.csv	126	0	0	0	0
1	25.11.2022_11.11.csv	127	0	0	0	0
1	25.11.2022_11.11.csv	128	0	0	0	0
1	25.11.2022_11.11.csv	129	0	0	0	0
1	25.11.2022_11.11.csv	130	0	0	0	0
1	25.11.2022_11.11.csv	131	0	0	0	0
1	25.11.2022_11.11.csv	132	0	0	0	0
1	25.11.2022_11.11.csv	133	0	0	0	0
1	25.11.2022_11.11.csv	134	0	0	0	0
1	25.11.2022_11.11.csv	135	0	0	0	0
1	25.11.2022_11.11.csv	136	0	0	0	0
1	25.11.2022_11.11.csv	137	0	0	0	0
1	25.11.2022_11.11.csv	138	0	0	0	0
1	25.11.2022_11.11.csv	139	0	0	0	0
1	25.11.2022_11.11.csv	140	0	0	0	0
1	25.11.2022_11.11.csv	141	0	0	0	0
1	25.11.2022_11.11.csv	142	0	0	0	0
1	25.11.2022_11.11.csv	143	0	0	0	0
1	25.11.2022_11.11.csv	144	0	0	0	0
1	25.11.2022_11.11.csv	145	0	0	0	0
1	25.11.2022_11.11.csv	146	0	0	0	0
1	25.11.2022_11.11.csv	147	0	0	0	0
1	25.11.2022_11.11.csv	148	0	0	0	0
1	25.11.2022_11.11.csv	149	0	0	0	0
1	25.11.2022_11.11.csv	150	1	0	0	1
1	25.11.2022_11.11.csv	151	1	0	0	1
1	25.11.2022_11.11.csv	152	1	0	0	1
1	25.11.2022_11.11.csv	153	1	0	0	1
1	25.11.2022_11.11.csv	154	1	0	0	1
1	25.11.2022_11.11.csv	155	1	0	0	1
1	25.11.2022_11.11.csv	156	1	0	0	1
1	25.11.2022_11.11.csv	157	1	0	0	1
1	25.11.2022_11.11.csv	158	1	0	0	1
1	25.11.2022_11.11.csv	159	1	0	0	1
1	25.11.2022_11.11.csv	160	1	0	0	1
1	25.11.2022_11.11.csv	161	0	0	0	0
1	25.11.2022_11.11.csv	162	0	0	0	0
1	25.11.2022_11.11.csv	163	0	0	0	0
1	25.11.2022_11.11.csv	164	0	0	0	0
1	25.11.2022_11.11.csv	165	0	0	0	0
1	25.11.2022_11.11.csv	166	0	0	0	0
1	25.11.2022_11.11.csv	167	0	0	0	0
1	25.11.2022_11.11.csv	168	0	0	0	0
1	25.11.2022_11.11.csv	169	0	0	0	0
1	25.11.2022_11.11.csv	170	0	0	0	0
1	25.11.2022_11.11.csv	171	0	0	0	0
1	25.11.2022_11.11.csv	172	0	0	0	0
1	25.11.2022_11.11.csv	173	0	0	0	0
1	25.11.2022_11.11.csv	174	0	0	0	0
1	25.11.2022_11.11.csv	175	0	0	0	0
1	25.11.2022_11.11.csv	176	0	0	0	0
1	25.11.2022_11.11.csv	177	0	0	0	0
1	25.11.2022_11.11.csv	178	0	0	0	0
1	25.11.2022_11.11.csv	179	0	0	0	0
1	25.11.2022_11.11.csv	180	0	1	0	1
1	25.11.2022_11.11.csv	181	0	1	0	1
1	25.11.2022_11.11.csv	182	0	1	0	1
1	25.11.2022_11.11.csv	183	0	1	0	1
1	25.11.2022_11.11.csv	184	0	1	0	1
1	25.11.2022_11.11.csv	185	0	1	0	1
1	25.11.2022_11.11.csv	186	0	1	0	1
1	25.11.2022_11.11.csv	187	0	1	0	1
1	25.11.2022_11.11.csv	188	0	1	0	1
1	25.11.2022_11.11.csv	189	0	1	0	1
1	25.11.2022_11.11.csv	190	0	1	0	1
1	25.11.2022_11.11.csv	191	0	1	0	1
1	25.11.2022_11.11.csv	192	0	1	0	1
1	25.11.2022_11.11.csv	193	0	1	0	1
1	25.11.2022_11.11.csv	194	0	1	0	1
1	25.11.2022_11.11.csv	195	0	1	0	1
1	25.11.2022_11.11.csv	196	0	1	0	1
