idx	fname	ts	tier	start	end	duration	note	offset_start	offset_end	fto	overlap_w	overlap_b	overlap	overlap_time	gap_time	talk_time	event
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:17:22	2022-11-25 11:17:25	3.0	osoba1	51.0	12.0	9.0	False	False	False		9.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:17:43	2022-11-25 11:18:39	56.0	osoba2	21.0	74.0	18.0	False	False	False		18.0	56.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:18:39	2022-11-25 11:19:22	43.0	osoba1	56.0	43.0	0.0	False	False	False		0.0	43.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:19:22	2022-11-25 11:19:54	32.0	osoba3	43.0	32.0	0.0	False	False	False		0.0	32.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:20:12	2022-11-25 11:21:09	57.0	osoba2	50.0	75.0	18.0	False	False	False		18.0	57.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:21:09	2022-11-25 11:21:11	2.0	osoba3	57.0	2.0	0.0	False	False	False		0.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:21:11	2022-11-25 11:22:03	52.0	osoba1	2.0	52.0	0.0	False	False	False		0.0	52.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:22:21	2022-11-25 11:22:26	5.0	osoba1	70.0	23.0	18.0	False	False	False		18.0	5.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:22:26	2022-11-25 11:22:30	4.0	osoba2	5.0	4.0	0.0	False	False	False		0.0	4.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:22:30	2022-11-25 11:22:35	5.0	osoba3	4.0	5.0	0.0	False	False	False		0.0	5.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:22:35	2022-11-25 11:22:40	5.0	osoba1	5.0	5.0	0.0	False	False	False		0.0	5.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:22:40	2022-11-25 11:23:34	54.0	osoba3	5.0	54.0	0.0	False	False	False		0.0	54.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:24:20	2022-11-25 11:24:27	7.0	osoba2	100.0	53.0	46.0	False	False	False		46.0	7.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:24:27	2022-11-25 11:25:27	60.0	osoba1	7.0	60.0	0.0	False	False	False		0.0	60.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:25:27	2022-11-25 11:26:12	45.0	osoba3	60.0	45.0	0.0	False	False	False		0.0	45.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:26:12	2022-11-25 11:27:19	67.0	osoba2	45.0	67.0	0.0	False	False	False		0.0	67.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:27:58	2022-11-25 11:29:22	84.0	osoba2	106.0	123.0	39.0	False	False	False		39.0	84.0	continuation
